brand_code,title,term,shape,dose,يارانه ارزي, مبلغ سهم سازمان با احتساب يارانه ارزي,percent_share_of_organization_exchange_subsidy,سهم صعب العلاج,سهم ناباروري,قيمت,price_exchange_subsidy,سهم سازمان,فهرست,قيمت در استانها,ROW_COLOR,Rx Code,FDA Code,
21306,RITUXIMAB, پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجكين<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در درمان مبتلا به ام اس neuromyelitis optics<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري در درمان رد پيوندحاد با واسطه آنتي بادي (AMR)با ارايه گايدلاين انجمن نفرولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,100 mg,2992875,9922087,92.799, , ,7699125,10692000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67888,2473,
22538,RITUXIMAB, پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در درمان مبتلا به ام اس neuromyelitisoptics<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري در درمان رد پيوندحاد با واسطه آنتي بادي(AMR) با ارايه گايدلاين انجمن نفرولوژي<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجکين <br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,100 mg,2992875,9922087,92.799, , ,7699125,10692000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67888,2473,
21399,RITUXIMAB, پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجكين<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي كليه و مجاري ادراري درمان رد پيوند حاد با واسطه آنتي بادي اي ام آر<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماران ام اس مبتلا به نوروميليت چشمي (نشان گان دويك)<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري در درمان رد پيوندحاد با واسطه آنتي بادي(AMR) با ارايه گايدلاين انجمن نفرولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,100 mg/10 ml,2992875,9922087,92.799, , ,7699125,10692000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67888,2473,
66684,RITUXIMAB, قابل تاييد در ادارات کل و داروهاي تخصصي بيماران خاص   تجويز توسط پزشك متخصص ام اس با سهم سازمان 90 درصد ,VIAL,100MG/10ML,2992875,9922087,92.799, , ,7699125,10692000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67888,2473,
2479,RITUXIMAB, پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در درمان مبتلا به ام اس neuromyelitis optics<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري در درمان رد پيوندحاد با واسطه آنتي بادي(AMR) با ارايه گايدلاين انجمن نفرولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,100 mg/10 ml,2992875,9922087,92.799, , ,7699125,10692000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67888,2473,
21307,RITUXIMAB, پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجكين<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در درمان رد پيوند حاد با واسطه آنتي بادي  (AMR) باسهم سازمان 90درصد با ارايه گايدلاين انجمن نفرولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و بيماريهاي پوست در درمان رد پيوند حاد با واسطه انتي بادي (AMR)با ارايه گايدلاين انجمن نفرواوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,500 mg,14714806,34964806,93.954, , ,22500000,37214806,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67889,2474,
21398,RITUXIMAB, پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجكين<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و بيماريهاي پوست در درمان رد پيوند حاد با واسطه انتي بادي (AMR)با ارايه گايدلاين انجمن نفرواوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و مغز واعصاب در بيماران اسكلروز چند گانه مبتلا به نوروميليت چشمي (نشانگان دويك) Devics Syndrome_Neuromyeltis Optica ودرمان رد پيوند حاد با واسطه آنتي بادي  (AMR) باسهم سازمان 90درصد با ارايه گايدلاين انجمن نفرولوژي با<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,500 mg/50 ml),14714806,34964806,93.954, , ,22500000,37214806,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67889,2474,
2480,RITUXIMAB, پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجكين<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب بيماران اسكلروز چند گانه مبتلا به نوروميليت چشمي (نشانگان دويك) Devics Syndrome_Neuromyeltis Optica ودرمان رد پيوند حاد با واسطه آنتي بادي  (AMR) باسهم سازمان 90درصد با ارايه گايدلاين انجمن نفرولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و بيماريهاي پوست در درمان رد پيوند حاد با واسطه انتي بادي (AMR)با ارايه گايدلاين انجمن نفرواوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,500 mg/50 ml,14714806,34964806,93.954, , ,22500000,37214806,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67889,2474,
2474,RITUXIMAB, پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجكين<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب و تجويز توسط متخصص مغز و اعصاب در درمان رد پيوند حاد با واسطه آنتي بادي  (AMR) باسهم سازمان 90درصد با ارايه گايدلاين انجمن نفرولوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و بيماريهاي پوست در درمان رد پيوند حاد با واسطه انتي بادي (AMR)با ارايه گايدلاين انجمن نفرواوژي<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,500 mg/50 ml,14714806,39962679,93.44,10%, ,28053193,42767999,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67889,2474,
22541,RITUXIMAB, پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و بيماريهاي پوست در درمان رد پيوند حاد با واسطه انتي بادي (AMR)با ارايه گايدلاين انجمن نفرواوژي<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و مغز واعصاب در بيماران اسكلروز چند گانه مبتلا به نوروميليت چشمي (نشانگان دويك) Devics Syndrome_Neuromyeltis Optica ودرمان رد پيوند حاد با واسطه آنتي بادي  (AMR) باسهم سازمان 90درصد با ارايه گايدلاين انجمن نفرولوژي<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجکين <br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص راديوتراپي و بيماريهاي خون وانكولوژي در لوسمي لنفوسيتيك مزمن (cll)، لنفوم لنفوسيتيكي كوچك sll)) ، Diffuse  large B CELL  lymphoma(DLBCL) ، لنفوم هوچكين ، لنفوم فوليكولار ، لنفوم منتل سل ، لنفوم لنفوبلاستيك ،  B cell ALL و لنفوم بوركيت ، هموفيلي A     ، ITP،  Autoimmune Hemolytic Anemia ، TTP)<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,500 mg,14714806,34964806,93.954, , ,22500000,37214806,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67889,2474,
66683,RITUXIMAB, داروهاي تخصصي بيماران خاص و قابل تاييد در ادارات کل   تجويز توسط پزشك متخصص مغز واعصاب با سهم سازمان 90 درصد ,VIAL,500mg,14714806,34964806,93.954, , ,22500000,37214806,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67889,2474,
66678,RITUXIMAB, پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كودكان و بيماريهاي كليه و مجاري ادراري و بيماريهاي خون وانكولوژي و بيماريهاي داخلي ANCA واسكوليت مرتبط با<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كودكان و بيماريهاي كليه و مجاري ادراري و بيماريهاي خون وانكولوژي و بيماريهاي داخلي نفريت لوپوسي<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي داخلي و بيماريهاي پوست نفريت لوپوسي<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي داخلي و بيماريهاي پوست آرتريت روماتوييد<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي داخلي و بيماريهاي پوست ANCA واسكوليت مرتبط با<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كودكان و بيماريهاي كليه و مجاري ادراري و بيماريهاي خون وانكولوژي و بيماريهاي داخلي آرتريت روماتوييد<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي anca واسكوليت مرتبط با<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,500MG/50ML,14714806,34964806,93.954, , ,22500000,37214806,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67889,2474,
66679,RITUXIMAB, پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي و بيماريهاي داخلي و بيماريهاي كليه و مجاري ادراري و روماتولوژي ANCA واسكوليت مرتبط با<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي و بيماريهاي داخلي و بيماريهاي كليه و مجاري ادراري و روماتولوژي پلي ميوزيت و درماتوميوزيت<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي و بيماريهاي داخلي و بيماريهاي كليه و مجاري ادراري و روماتولوژي آرتريت روماتوييد<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي و بيماريهاي داخلي و بيماريهاي كليه و مجاري ادراري و روماتولوژي نفريت لوپوسي<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست و بيماريهاي داخلي و بيماريهاي كليه و مجاري ادراري و راديوتراپي ANCA واسكوليت مرتبط با<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست و بيماريهاي داخلي و بيماريهاي كليه و مجاري ادراري و راديوتراپي پلي ميوزيت و درماتوميوزيت<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست و بيماريهاي داخلي و بيماريهاي كليه و مجاري ادراري و راديوتراپي آرتريت روماتوييد<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست و بيماريهاي داخلي و بيماريهاي كليه و مجاري ادراري و راديوتراپي نفريت لوپوسي با سهم سازمان 90 درصد ,VIAL,100MG/10ML,2992875,9922087,92.799, , ,7699125,10692000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67888,2473,
22586,RITUXIMAB , پرونده اي   تجويز توسط پزشك فوق تخصص روماتولوژي درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي پوست درمان پمفيگوس<br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در درمان مبتلا به ام اس neuromyelitis optics<br> يا  پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي (NHL) لنفوم غير هوجکين <br> يا  پرونده اي   تجويز توسط پزشك متخصص مغز واعصاب در بيماري مياستني گراويس با سهم سازمان 90 درصد ,VIAL,100 MG /10ML,2992875,9922087,92.799, , ,7699125,10692000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67888,2473,
60110,RIVANOL,,BULK,,,70,70%, , ,100,100,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1902,RIVASTIGMINE (EXELON),   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و بيماريهاي داخلي و مغز واعصاب,TAB,1.5 mg,,770,70%, , ,1100,1100,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1903,RIVASTIGMINE (EXELON),   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و بيماريهاي داخلي و مغز واعصاب,TAB,3 mg,,1330,70%, , ,1900,1900,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1904,RIVASTIGMINE (EXELON),   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و بيماريهاي داخلي و مغز واعصاب,TAB,4.5 mg,,2030,70%, , ,2900,2900,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1931,RIVASTIGMINE (EXELON),   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و بيماريهاي داخلي و مغز واعصاب,TAB,6 mg,,2590,70%, , ,3700,3700,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1998,RIVASTIGMINE (EXELON),   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و بيماريهاي داخلي و مغز واعصاب,CAP,1.5 mg,3260,8482,79.123, , ,7460,10720,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63263,,
1999,RIVASTIGMINE (EXELON),   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و بيماريهاي داخلي و مغز واعصاب,CAP,3 mg,6630,13861,81.727, , ,10330,16960,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63269,,
2000,RIVASTIGMINE (EXELON),   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و بيماريهاي داخلي و مغز واعصاب,CAP,4.5 mg,9740,19183,82.578, , ,13490,23230,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63274,,
2738,RIVASTIGMINE (EXELON),   تجويز توسط پزشك متخصص بيماريهاي اعصاب و روان و بيماريهاي داخلي و مغز واعصاب,CAP,6 mg,,6895,70%, , ,9850,9850,70%,"مددجويان کميته امداد
,بهزيستي",,,63874,,
17038,ROMIPLOSTIM, پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي و راديوتراپي,VIAL,250 MCG,110603000,127076800,94.736,20%, ,23534000,134137000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67895,17038,
1115,SALBUTAMOL,,AEROSOL,100 mcg/dose   (200dose),73392,330082,75.002, , ,366700,440092,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,67906,15068,
9897,SALBUTAMOL, توليد داخل,INHALER,2.5 mg/2.5 ml,45000,50600,95.471,20%, ,8000,53000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67907,,
1112,SALBUTAMOL  (AS SULFATE),,SYRUP,2MG/5ML 120ML SYRUP 100ML,40100,135650,76.812, , ,136500,176600,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,62401,,
1113,SALBUTAMOL  (AS SULFATE), بيمارستاني,INJ,0.5 mg/ml    (1 ml),,5880,70%, , ,8400,8400,70%,"مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,62403,,
1114,SALBUTAMOL  (AS SULFATE),,TAB,2 mg,288,1303,74.971, , ,1450,1738,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,62404,,
1667,SALBUTAMOL  (AS SULFATE), بيمارستاني,SOL  FOR  INHALATION,5 mg/ml,,3752,70%, , ,5361,5361,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1116,SALICYLIC  ACID,,BULK,,,1196,70%, , ,1709,1709,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1668,SALICYLIC  ACID,,TOP  SOL,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,65696,,
1117,SALMETEROL(AS  XINAFOATE),   تجويز توسط پزشك متخصص,"INHALER  , SPRAY",25 mcg/120dose,,109200,70%, , ,156000,156000,70%,"متخصص پزشکي خانواده
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67915,1117,
1118,SALMETEROL(AS  XINAFOATE),   تجويز توسط پزشك متخصص,INHALER,50 mcg/dose,,0,70%, , , , ,70%,"متخصص پزشکي خانواده
,مددجويان کميته امداد
,بهزيستي",,,,,
2278,SALMETEROL(AS  XINAFOATE),   تجويز توسط پزشك متخصص,"INHALER ,  SPRAY",25MCG/DOSE 200DOSE INHALE 25MCG SPRAY,77102,283602,76.216, , ,295000,372102,70%,"متخصص پزشکي خانواده
,داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,2278,
4793,SALMETEROL/FLUTICASONE,   تجويز توسط پزشك متخصص تاييد در داروخانه,INHALER,50/25 mic 120 dose,172900,326900,83.201, , ,220000,392900,70%,"متخصص پزشکي خانواده
,داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67911,4793,
4927,SALMETEROL/FLUTICASONE,   تجويز توسط پزشك متخصص تاييد درداروخانه,INHALER,25/250 mic 120 dose,169772,697311,75.515, , ,753628,923400,70%,"متخصص پزشکي خانواده
,داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67910,4927,
4795,SALMETEROL/FLUTICASONE       (SEROTIDE),   تجويز توسط پزشك متخصص تاييد در داروخانه,INHALER,25/125 mic 120 dose,1502000,1893300,91.863, , ,559000,2061000,70%,"متخصص پزشکي خانواده
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,64000,4795,
1821,SAMILAX®,,TAB,,,350,70%, , ,500,500,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
8977,SANDOSTATIN LAR® (OCTREOTIDE), پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,AMP,20 mg,15998400,28329840,95.386, , ,13701600,29700000,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,63692,2391,
1345,SANKOL®,,DROP,30 ml,,42700,70%, , ,61000,61000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
